lang,perc

tlwiki,29.43
brwiki,27.02
scowiki,26.08
zh_yuewiki,24.03
arzwiki,23.92
fywiki,21.34
zhwiki,20.62
zh_min_nanwiki,20.57
thwiki,20.32
mswiki,19.96
simplewiki,19.42
iswiki,19.37
svwiki,19.35
kowiki,19.29
hiwiki,19.20
srwiki,18.94
rowiki,18.72
enwiki,18.45
shwiki,18.45
fawiki,18.35
nowiki,18.35
cywiki,18.02
azwiki,17.81
nlwiki,17.65
jawiki,17.47
viwiki,17.33
lbwiki,17.28
ptwiki,17.23
fiwiki,17.19
cswiki,17.05
eswiki,16.90
plwiki,16.81
itwiki,16.67
frwiki,16.58
mlwiki,16.36
hewiki,16.34
hywiki,16.33
trwiki,16.32
ruwiki,16.27
huwiki,16.26
sqwiki,16.26
anwiki,16.12
diqwiki,15.97
bgwiki,15.81
ndswiki,15.68
lvwiki,15.47
eowiki,15.26
ukwiki,15.26
bswiki,15.20
mnwiki,15.19
hrwiki,15.16
mrwiki,15.07
etwiki,15.07
dawiki,14.98
dewiki,14.94
astwiki,14.88
gawiki,14.56
idwiki,14.42
afwiki,14.06
jvwiki,13.84
tawiki,13.79
nnwiki,13.70
cawiki,13.65
glwiki,13.52
urwiki,13.19
bnwiki,13.13
arwiki,12.93
bewiki,12.87
elwiki,12.84
skwiki,12.80
ocwiki,12.61
kuwiki,12.56
swwiki,12.54
euwiki,12.50
kawiki,12.47
kkwiki,12.09
be_x_oldwiki,12.05
ltwiki,11.90
iowiki,11.42
quwiki,11.27
yiwiki,11.16
alswiki,11.01
mkwiki,10.85
scnwiki,10.64
yowiki,10.47
mznwiki,10.41
pnbwiki,10.11
lawiki,10.06
warwiki,10.03
slwiki,8.19
gdwiki,8.04
pmswiki,7.55
htwiki,5.31
